date,beePop,Temp
1976,4269,51.47
1977,4323,52.55
1978,4090,51.04
1979,4163,50.88
1980,4141,52.39
1981,4213,53.12
1982,4012,51.34
1983,3811,51.88
1984,3609,51.97
1985,3407,51.30
1986,3205,53.32
1987,3190,53.33
1988,3219,52.63
1989,3311,51.84
1990,3210,53.51
1991,3200,53.16
1992,3030,52.60
1993,2876,51.26
1994,2770,52.87
1995,2647,52.65
1996,2564,51.88
1997,2579,52.20
1998,2663,54.23
1999,2668,53.88
2000,2620,53.27
2001,2513,53.69
2002,2574,53.21
2003,2590,53.26
2004,2556,53.10
2005,2410,53.64
2006,2393,54.25
2007,2442,53.65
2008,2342,52.29
2009,2462,52.39
2010,2692,52.98
2011,2491,52.18
2012,2539,55.28
2013,2640,52.43
2014,2740,52.54
2015,2660,54.40
2016,2775,54.92
2017,2669,54.54
