date,beePop,state
1976,4269,all
1977,4323,all
1978,4090,all
1979,4163,all
1980,4141,all
1981,4213,all
1982,4012,all
1983,3811,all
1984,3609,all
1985,3407,all
1986,3205,all
1987,3190,all
1988,3219,all
1989,3311,all
1990,3210,all
1991,3200,all
1992,3030,all
1993,2876,all
1994,2770,all
1995,2647,all
1996,2564,all
1997,2579,all
1998,2663,all
1999,2668,all
2000,2620,all
2001,2513,all
2002,2574,all
2003,2590,all
2004,2556,all
2005,2410,all
2006,2393,all
2007,2442,all
2008,2342,all
2009,2462,all
2010,2692,all
2011,2491,all
2012,2539,all
2013,2640,all
2014,2740,all
2015,2660,all
2016,2775,all
2017,2669,all
1976,269,California
1977,323,California
1978,090,California
1979,163,California
1980,141,California
1981,213,California
1982,012,California
1983,811,California
1984,609,California
1985,407,California
1986,205,California
1987,190,California
1988,219,California
1989,311,California
1990,210,California
1991,200,California
1992,030,California
1993,876,California
1994,770,California
1995,647,California
1996,564,California
1997,579,California
1998,663,California
1999,668,California
2000,620,California
2001,513,California
2002,574,California
2003,590,California
2004,556,California
2005,410,California
2006,393,California
2007,442,California
2008,342,California
2009,462,California
2010,692,California
2011,491,California
2012,539,California
2013,640,California
2014,740,California
2015,660,California
2016,775,California
2017,669,California
1976,4269,Florida
1977,4323,Florida
1978,4090,Florida
1979,4163,Florida
1980,4141,Florida
1981,4213,Florida
1982,4012,Florida
1983,3811,Florida
1984,3609,Florida
1985,3407,Florida
1986,3205,Florida
1987,3190,Florida
1988,3219,Florida
1989,3311,Florida
1990,3210,Florida
1991,3200,Florida
1992,3030,Florida
1993,2876,Florida
1994,2770,Florida
1995,2647,Florida
1996,2564,Florida
1997,2579,Florida
1998,2663,Florida
1999,2668,Florida
2000,2620,Florida
2001,2513,Florida
2002,2574,Florida
2003,2590,Florida
2004,2556,Florida
2005,2410,Florida
2006,2393,Florida
2007,2442,Florida
2008,2342,Florida
2009,2462,Florida
2010,2692,Florida
2011,2491,Florida
2012,2539,Florida
2013,2640,Florida
2014,2740,Florida
2015,2660,Florida
2016,2775,Florida
2017,2669,Florida
