date,Temp,state
1976,51.47,all
1977,52.55,all
1978,51.04,all
1979,50.88,all
1980,52.39,all
1981,53.12,all
1982,51.34,all
1983,51.88,all
1984,51.97,all
1985,51.30,all
1986,53.32,all
1987,53.33,all
1988,52.63,all
1989,51.84,all
1990,53.51,all
1991,53.16,all
1992,52.60,all
1993,51.26,all
1994,52.87,all
1995,52.65,all
1996,51.88,all
1997,52.20,all
1998,54.23,all
1999,53.88,all
2000,53.27,all
2001,53.69,all
2002,53.21,all
2003,53.26,all
2004,53.10,all
2005,53.64,all
2006,54.25,all
2007,53.65,all
2008,52.29,all
2009,52.39,all
2010,52.98,all
2011,52.18,all
2012,55.28,all
2013,52.43,all
2014,52.54,all
2015,54.40,all
2016,54.92,all
2017,54.54,all
1976,59.47,California
1977,59.55,California
1978,59.04,California
1979,59.88,California
1980,59.39,California
1981,59.12,California
1982,59.34,California
1983,59.88,California
1984,59.97,California
1985,59.30,California
1986,59.32,California
1987,59.33,California
1988,59.63,California
1989,59.84,California
1990,59.51,California
1991,59.16,California
1992,59.60,California
1993,59.26,California
1994,59.87,California
1995,59.65,California
1996,59.88,California
1997,59.20,California
1998,59.23,California
1999,59.88,California
2000,59.27,California
2001,59.69,California
2002,59.21,California
2003,59.26,California
2004,59.10,California
2005,59.64,California
2006,59.25,California
2007,59.65,California
2008,59.29,California
2009,59.39,California
2010,59.98,California
2011,59.18,California
2012,59.28,California
2013,59.43,California
2014,59.54,California
2015,59.40,California
2016,59.92,California
2017,59.54,California
1976,51.47,Florida
1977,52.55,Florida
1978,51.04,Florida
1979,50.88,Florida
1980,52.39,Florida
1981,53.12,Florida
1982,51.34,Florida
1983,51.88,Florida
1984,51.97,Florida
1985,51.30,Florida
1986,53.32,Florida
1987,53.33,Florida
1988,52.63,Florida
1989,51.84,Florida
1990,53.51,Florida
1991,53.16,Florida
1992,52.60,Florida
1993,51.26,Florida
1994,52.87,Florida
1995,52.65,Florida
1996,51.88,Florida
1997,52.20,Florida
1998,54.23,Florida
1999,53.88,Florida
2000,53.27,Florida
2001,53.69,Florida
2002,53.21,Florida
2003,53.26,Florida
2004,53.10,Florida
2005,53.64,Florida
2006,54.25,Florida
2007,53.65,Florida
2008,52.29,Florida
2009,52.39,Florida
2010,52.98,Florida
2011,52.18,Florida
2012,55.28,Florida
2013,52.43,Florida
2014,52.54,Florida
2015,54.40,Florida
2016,54.92,Florida
2017,54.54,Florida
