state,numColonies
Alabama,700
Arizona,27
Arkansas,24
California,310
Colorado,32
Florida,215
Georgia,96
Hawaii,16
Idaho,97
Illinois,10
Indiana,7
Iowa,37
Kansas,7
Kentucky,5
Louisiana,50
Maine,12
Michigan,89
Minnesota,124
Mississippi,19
Missouri,8
Montana,159
Nebraska,48
New Jersey,12
New York,64
North Carolina,12
North Dakota,485
Ohio,15
Oregon,74
Pennsylvania,19
South Carolina,16
South Dakota,280
Tennessee,6
Texas,133
Utah,31
Vermont,6
Virginia,5
Washington,84
West Virginia,5
Wisconsin,54
Wyoming,40
