date,beePop,state
1978,4090,all
1979,4163,all
1980,4141,all
1981,4213,all
1982,4012,all
1983,3811,all
1984,3609,all
1985,3407,all
1986,3205,all
1987,3190,all
1988,3219,all
1989,3311,all
1990,3210,all
1991,3200,all
1992,3030,all
1993,2876,all
1994,2770,all
1995,2647,all
1996,2564,all
1997,2579,all
1998,2663,all
1999,2668,all
2000,2620,all
2001,2513,all
2002,2574,all
2003,2590,all
2004,2556,all
2005,2410,all
2006,2393,all
2007,2442,all
2008,2342,all
2009,2462,all
2010,2692,all
2011,2491,all
2012,2539,all
2013,2640,all
2014,2740,all
2015,2660,all
2016,2775,all
2017,2669,all
1978,45,Alabama
1978,55,Arizona
1978,45,Arkansas
1978,405,California
1978,30,Colorado
1978,220,Florida
1978,115,Georgia
1978,7,Hawaii
1978,90,Idaho
1978,6,Illinois
1978,76,Indiana
1978,36,Iowa
1978,43,Kansas
1978,46,Kentucky
1978,31,Louisiana
1978,5,Maine
1978,55,Michigan
1978,145,Minnesota
1978,52,Mississippi
1978,112,Missouri
1978,91,Montana
1978,130,Nebraska
1978,35,New Jersey
1978,47,New York
1978,9,North Carolina
1978,155,North Dakota
1978,89,Ohio
1978,35,Oregon
1978,78,Pennsylvania
1978,56,South Carolina
1978,168,South Dakota
1978,140,Tennessee
1978,90,Texas
1978,47,Utah
1978,9,Vermont
1978,77,Virginia
1978,66,Washington
1978,93,West Virginia
1978,80,Wisconsin
1978,41,Wyoming
1979,45,Alabama
1979,41,Arizona
1979,35,Arkansas
1979,385,California
1979,30,Colorado
1979,204,Florida
1979,120,Georgia
1979,7,Hawaii
1979,90,Idaho
1979,7,Illinois
1979,75,Indiana
1979,39,Iowa
1979,40,Kansas
1979,52,Kentucky
1979,31,Louisiana
1979,5,Maine
1979,52,Michigan
1979,125,Minnesota
1979,49,Mississippi
1979,124,Missouri
1979,94,Montana
1979,115,Nebraska
1979,34,New Jersey
1979,53,New York
1979,12,North Carolina
1979,182,North Dakota
1979,83,Ohio
1979,32,Oregon
1979,74,Pennsylvania
1979,59,South Carolina
1979,190,South Dakota
1979,135,Tennessee
1979,100,Texas
1979,46,Utah
1979,9,Vermont
1979,78,Virginia
1979,67,Washington
1979,104,West Virginia
1979,95,Wisconsin
1979,39,Wyoming
1980,44,Alabama
1980,44,Arizona
1980,32,Arkansas
1980,385,California
1980,30,Colorado
1980,208,Florida
1980,120,Georgia
1980,7,Hawaii
1980,90,Idaho
1980,7,Illinois
1980,76,Indiana
