ST,state,Temp,MAX,MIN,date
ALL,all,51.0,0,0,1978
ALL,all,50.9,0,0,1979
ALL,all,52.4,0,0,1980
ALL,all,53.1,0,0,1981
ALL,all,51.3,0,0,1982
ALL,all,51.4,0,0,1983
ALL,all,52.0,0,0,1984
ALL,all,51.3,0,0,1985
ALL,all,53.3,0,0,1986
ALL,all,53.3,0,0,1987
ALL,all,52.6,0,0,1988
ALL,all,51.8,0,0,1989
ALL,all,53.5,0,0,1990
ALL,all,53.2,0,0,1991
ALL,all,52.6,0,0,1992
ALL,all,51.3,0,0,1993
ALL,all,52.9,0,0,1994
ALL,all,52.7,0,0,1995
ALL,all,51.9,0,0,1996
ALL,all,52.2,0,0,1997
ALL,all,54.2,0,0,1998
ALL,all,53.9,0,0,1999
ALL,all,53.3,0,0,2000
ALL,all,53.7,0,0,2001
ALL,all,53.2,0,0,2002
ALL,all,53.3,0,0,2003
ALL,all,53.1,0,0,2004
ALL,all,53.6,0,0,2005
ALL,all,54.3,0,0,2006
ALL,all,53.7,0,0,2007
ALL,all,52.3,0,0,2008
ALL,all,52.4,0,0,2009
ALL,all,53.0,0,0,2010
ALL,all,52.2,0,0,2011
ALL,all,55.3,0,0,2012
ALL,all,52.4,0,0,2013
ALL,all,52.5,0,0,2014
ALL,all,54.4,0,0,2015
ALL,all,55.0,0,0,2016
ALL,all,54.5,0,0,2017
AL,Alabama,62.6,74.4,50.9,1978
AZ,Arizona,60.5,74.7,46.3,1978
AR,Arkansas,60.9,72.2,49.7,1978
CA,California,58.3,70.7,45.9,1978
CO,Colorado,46.4,60.2,32.6,1978
CT,Connecticut,48.7,58.8,38.6,1978
DE,Delaware,55.2,65.3,45.2,1978
FL,Florida,69.7,80.7,58.6,1978
GA,Georgia,63.1,75.2,51.1,1978
ID,Idaho,43.7,55.3,32.2,1978
IL,Illinois,52,62.2,41.8,1978
IN,Indiana,51.6,61.9,41.3,1978
IA,Iowa,48.5,59.3,37.8,1978
KS,Kansas,55.3,67.8,42.8,1978
KY,Kentucky,55.2,66.2,44.2,1978
LA,Louisiana,66.1,76.8,55.4,1978
ME,Maine,40.8,50.7,31,1978
MD,Maryland,54.5,64.7,44.2,1978
MA,Massachusetts,47.7,57.7,37.7,1978
MI,Michigan,44.6,54.7,34.5,1978
MN,Minnesota,41.5,52,31,1978
MS,Mississippi,63.5,74.9,52,1978
MO,Missouri,55.2,65.8,44.5,1978
MT,Montana,41.4,53.3,29.4,1978
NE,Nebraska,49.5,61.9,37.1,1978
NV,Nevada,50.8,64.3,37.2,1978
NH,New Hampshire,43.2,53.8,32.6,1978
NJ,New Jersey,52.4,62.6,42.3,1978
NM,New Mexico,54,69,38.9,1978
NY,New York,45,54.7,35.3,1978
NC,North Carolina,58.7,70.1,47.4,1978
ND,North Dakota,40.9,52.4,29.5,1978
OH,Ohio,50.6,61,40.2,1978
OK,Oklahoma,60.6,72.7,48.4,1978
OR,Oregon,47.6,58.6,36.7,1978
PA,Pennsylvania,48.5,58.8,38.2,1978
RI,Rhode Island,49.6,58.8,40.3,1978
SC,South Carolina,62.5,74.3,50.7,1978
SD,South Dakota,45.2,57.1,33.4,1978
TN,Tennessee,57.6,69,46.1,1978
TX,Texas,65.2,77.8,52.7,1978
UT,Utah,49.4,62.3,36.4,1978
VT,Vermont,42.3,52.5,32.1,1978
VA,Virginia,55.2,66.4,44,1978
WA,Washington,46.7,56.4,36.9,1978
WV,We Virginia,51.3,62.5,40.2,1978
WI,Wisconsin,43.5,54,33,1978
WY,Wyoming,42.1,55.1,29,1978
AL,Alabama,62,74.2,49.9,1979
AZ,Arizona,59.3,72.7,45.8,1979
AR,Arkansas,58.7,70,47.5,1979
CA,California,57.2,69.2,45.1,1979
CO,Colorado,43.8,57.4,30.2,1979
CT,Connecticut,47,57.3,36.8,1979
DE,Delaware,53.2,63.3,43.1,1979
FL,Florida,69.9,80.7,59.1,1979
GA,Georgia,62.8,74.9,50.7,1979
ID,Idaho,41,52.6,29.4,1979
IL,Illinois,49.3,59.5,39.1,1979
IN,Indiana,49,59.4,38.6,1979
IA,Iowa,45,55.5,34.5,1979
KS,Kansas,52.4,64.8,39.9,1979
KY,Kentucky,53.6,64.4,42.8,1979
LA,Louisiana,65.2,76.2,54.2,1979
ME,Maine,39.6,50.4,28.9,1979
MD,Maryland,52.8,62.9,42.6,1979
MA,Massachusetts,46,56.4,35.5,1979
MI,Michigan,42.1,52.5,31.8,1979
MN,Minnesota,38.7,49.6,27.7,1979
MS,Mississippi,62.3,74.1,50.5,1979
MO,Missouri,52.3,63.3,41.4,1979
MT,Montana,38.2,49.8,26.6,1979
NE,Nebraska,45.8,58.1,33.4,1979
NV,Nevada,48.6,61.6,35.6,1979
NH,New Hampshire,41.4,52.8,30,1979
NJ,New Jersey,50.6,60.6,40.5,1979
NM,New Mexico,52.8,67,38.6,1979
NY,New York,43,53.3,32.7,1979
NC,North Carolina,57.8,69.1,46.4,1979
ND,North Dakota,38.1,49.5,26.6,1979
OH,Ohio,48.5,58.6,38.3,1979
OK,Oklahoma,58.3,70.3,46.3,1979
OR,Oregon,45.4,56.6,34.4,1979
PA,Pennsylvania,46.6,56.9,36.3,1979
RI,Rhode Island,47.8,57.4,38.2,1979
SC,South Carolina,61.9,73.7,50.1,1979
SD,South Dakota,42.1,54.1,30.2,1979
TN,Tennessee,56.4,67.9,44.8,1979
TX,Texas,63.7,75.6,51.8,1979
UT,Utah,46.9,59.2,34.5,1979
VT,Vermont,40.2,51.4,29.1,1979
VA,Virginia,53.9,65,42.9,1979
WA,Washington,44.9,54.5,35.2,1979
WV,We Virginia,50.2,61,39.5,1979
WI,Wisconsin,40.6,51.4,29.7,1979
WY,Wyoming,38.4,51.3,25.5,1979
AL,Alabama,62.1,73.4,50.8,1980
AZ,Arizona,59.4,73.8,45.1,1980
AR,Arkansas,59.1,70,48.1,1980
CA,California,58.2,70.6,45.8,1980
CO,Colorado,44.3,57.8,30.8,1980
CT,Connecticut,48.9,58.5,39.2,1980
DE,Delaware,53.8,63.3,44.2,1980
FL,Florida,70.2,80.8,59.5,1980
GA,Georgia,62.8,74.1,51.5,1980
ID,Idaho,43.2,55.3,31.2,1980
IL,Illinois,50.5,60.7,40.3,1980
IN,Indiana,50.1,60.2,40,1980
IA,Iowa,46.4,57,35.9,1980
KS,Kansas,53.4,66,40.8,1980
KY,Kentucky,54.2,64.7,43.8,1980
LA,Louisiana,65.4,75.9,54.8,1980
ME,Maine,41.8,51.2,32.4,1980
MD,Maryland,53.2,62.9,43.5,1980
MA,Massachusetts,47.9,57.6,38.2,1980
MI,Michigan,43,52.9,33.2,1980
MN,Minnesota,38.8,49.1,28.6,1980
MS,Mississippi,62.4,73.4,51.4,1980
MO,Missouri,53.3,64.4,42.2,1980
MT,Montana,41,53.6,28.4,1980
NE,Nebraska,47.7,60.1,35.3,1980
NV,Nevada,50.4,63.9,36.9,1980
NH,New Hampshire,43.5,53.8,33.2,1980
NJ,New Jersey,51.6,61.2,42,1980
NM,New Mexico,52.4,67.5,37.4,1980
NY,New York,44.8,54.6,35.1,1980
NC,North Carolina,57.9,68.8,47,1980
ND,North Dakota,38.2,49.7,26.6,1980
OH,Ohio,49.5,59.3,39.6,1980
OK,Oklahoma,58.5,70.5,46.4,1980
OR,Oregon,47.6,58.6,36.6,1980
PA,Pennsylvania,47.7,57.7,37.8,1980
RI,Rhode Island,49.6,58.5,40.8,1980
SC,South Carolina,61.8,73,50.6,1980
SD,South Dakota,43.7,56.1,31.3,1980
TN,Tennessee,56.6,67.3,46,1980
TX,Texas,63.7,76,51.3,1980
UT,Utah,47.6,60.4,34.9,1980
VT,Vermont,42.5,52.7,32.4,1980
VA,Virginia,54.1,64.6,43.5,1980
WA,Washington,46.8,56.8,36.7,1980
WV,We Virginia,50.7,61.1,40.2,1980
WI,Wisconsin,41.3,51.5,31.2,1980
WY,Wyoming,41,53.9,28,1980
AL,Alabama,61.9,74.2,49.6,1981
AZ,Arizona,60.4,74.9,45.9,1981
AR,Arkansas,60.3,72.3,48.2,1981
CA,California,58.1,70.6,45.6,1981
CO,Colorado,46.2,60.3,32,1981
CT,Connecticut,47.1,57.8,36.4,1981
DE,Delaware,53.6,63.6,43.5,1981
FL,Florida,69.2,80.3,58.1,1981
GA,Georgia,62.4,74.5,50.3,1981
ID,Idaho,43.9,55.1,32.7,1981
IL,Illinois,51.2,61.6,40.8,1981
IN,Indiana,50.1,60.5,39.8,1981
IA,Iowa,48.2,59.4,37,1981
KS,Kansas,55.4,68.7,42.2,1981
KY,Kentucky,54.1,65.4,42.8,1981
LA,Louisiana,65.5,76.9,54.1,1981
ME,Maine,38.8,49.1,28.4,1981
MD,Maryland,53.1,63.4,42.7,1981
MA,Massachusetts,45.7,56.4,35.1,1981
MI,Michigan,42.5,52.5,32.6,1981
MN,Minnesota,41.1,52.4,29.7,1981
MS,Mississippi,62.6,74.5,50.6,1981
MO,Missouri,54.9,66.8,43,1981
MT,Montana,43.4,55.6,31.3,1981
NE,Nebraska,50.1,63.5,36.7,1981
NV,Nevada,50.5,64,37,1981
NH,New Hampshire,40.9,52,29.7,1981
NJ,New Jersey,51,61.5,40.5,1981
NM,New Mexico,53.7,69.2,38.2,1981
NY,New York,42.8,53.1,32.5,1981
NC,North Carolina,57.4,69,45.7,1981
ND,North Dakota,42,54.2,29.8,1981
OH,Ohio,48.8,58.9,38.7,1981
OK,Oklahoma,60.6,73.6,47.5,1981
OR,Oregon,47.5,58.3,36.7,1981
PA,Pennsylvania,46.8,57.4,36.2,1981
RI,Rhode Island,47.7,57.5,38,1981
SC,South Carolina,61.4,73.4,49.3,1981
SD,South Dakota,47,60.1,33.9,1981
TN,Tennessee,56.7,68.5,44.8,1981
TX,Texas,64.9,77.6,52.2,1981
UT,Utah,48.6,61.4,35.9,1981
VT,Vermont,39.6,50.6,28.7,1981
VA,Virginia,53.9,65.4,42.5,1981
WA,Washington,47.1,56.2,38,1981
WV,We Virginia,49.9,61,38.8,1981
WI,Wisconsin,42.3,52.9,31.7,1981
WY,Wyoming,42.9,55.8,30,1981
AL,Alabama,62.3,74.5,50,1982
AZ,Arizona,60.9,74.9,47,1982
AR,Arkansas,60,71.2,48.8,1982
CA,California,58.8,71.1,46.5,1982
CO,Colorado,46.5,60.1,33,1982
CT,Connecticut,48.4,58.7,38.1,1982
DE,Delaware,53.5,63.5,43.5,1982
FL,Florida,69.9,81.6,58.3,1982
GA,Georgia,62.6,74.8,50.4,1982
ID,Idaho,43.6,55.3,32,1982
IL,Illinois,51,61.3,40.8,1982
IN,Indiana,50.4,60.7,40.1,1982
IA,Iowa,47.7,58.6,36.8,1982
KS,Kansas,55,67.4,42.6,1982
KY,Kentucky,54.4,65.5,43.2,1982
LA,Louisiana,66.4,77.5,55.4,1982
ME,Maine,41.6,51.4,31.9,1982
MD,Maryland,53,63.2,42.8,1982
MA,Massachusetts,47.3,57.5,37.1,1982
MI,Michigan,43.6,53.6,33.7,1982
MN,Minnesota,41.1,51.7,30.4,1982
MS,Mississippi,63.4,75.2,51.5,1982
MO,Missouri,54.2,65.2,43.2,1982
MT,Montana,42.3,54.7,29.9,1982
NE,Nebraska,49.3,62,36.5,1982
NV,Nevada,51.2,64.6,37.7,1982
NH,New Hampshire,43.1,53.8,32.5,1982
NJ,New Jersey,51.4,61.5,41.2,1982
NM,New Mexico,54.2,69.1,39.3,1982
NY,New York,44.7,54.4,34.9,1982
NC,North Carolina,57.2,68.9,45.6,1982
ND,North Dakota,41.2,53.2,29.2,1982
OH,Ohio,49.5,59.6,39.3,1982
OK,Oklahoma,60.1,72.1,48.2,1982
OR,Oregon,47.3,58.4,36.1,1982
PA,Pennsylvania,47.4,57.7,37.2,1982
RI,Rhode Island,49,58.5,39.4,1982
SC,South Carolina,61.3,73.5,49.1,1982
SD,South Dakota,45.8,58.6,33,1982
TN,Tennessee,56.7,68.2,45.2,1982
TX,Texas,65,77.1,52.9,1982
UT,Utah,49.5,62,36.9,1982
VT,Vermont,42.2,52.6,31.8,1982
VA,Virginia,53.6,64.9,42.3,1982
WA,Washington,46.6,56.3,36.9,1982
WV,We Virginia,50.1,61.4,38.8,1982
WI,Wisconsin,42.5,53,32,1982
WY,Wyoming,42.8,55.8,29.9,1982
AL,Alabama,63.3,74.6,52,1983
AZ,Arizona,58.9,72.2,45.5,1983
AR,Arkansas,60.2,70.8,49.6,1983
CA,California,56.7,68.2,45.1,1983
CO,Colorado,44.4,57.5,31.3,1983
CT,Connecticut,48.7,59.1,38.2,1983
DE,Delaware,54.6,64.6,44.7,1983
FL,Florida,71.3,81.5,61.1,1983
GA,Georgia,63.8,74.9,52.8,1983
ID,Idaho,41.7,52.4,30.9,1983
IL,Illinois,51.7,61.4,41.9,1983
IN,Indiana,51.6,61.6,41.6,1983
IA,Iowa,47.4,57.2,37.7,1983
KS,Kansas,53.6,65.6,41.5,1983
KY,Kentucky,55.7,66.5,44.9,1983
LA,Louisiana,66.5,76.9,56.1,1983
ME,Maine,40.9,51.4,30.3,1983
MD,Maryland,54.3,64.3,44.2,1983
MA,Massachusetts,47.6,57.9,37.2,1983
MI,Michigan,44.2,53.9,34.4,1983
MN,Minnesota,40.6,50.6,30.6,1983
MS,Mississippi,63.7,74.6,52.7,1983
MO,Missouri,54.3,64.9,43.7,1983
MT,Montana,40.5,52,29.1,1983
NE,Nebraska,48.1,60,36.2,1983
NV,Nevada,48.6,60.8,36.3,1983
NH,New Hampshire,43,54.2,31.8,1983
NJ,New Jersey,52.2,62.3,42,1983
NM,New Mexico,52.5,66.7,38.3,1983
NY,New York,45.2,55.5,34.9,1983
NC,North Carolina,58.8,69.5,48.2,1983
ND,North Dakota,40,51,29.1,1983
OH,Ohio,51.1,61.3,40.8,1983
OK,Oklahoma,59.2,70.9,47.5,1983
OR,Oregon,46,56.5,35.4,1983
PA,Pennsylvania,48.7,59.1,38.3,1983
RI,Rhode Island,49.3,58.8,39.9,1983
SC,South Carolina,62.7,73.6,51.9,1983
SD,South Dakota,44.8,56.3,33.2,1983
TN,Tennessee,57.9,68.8,47,1983
TX,Texas,64.5,76.3,52.6,1983
UT,Utah,46.8,58.5,35.1,1983
VT,Vermont,42.3,53.4,31.2,1983
VA,Virginia,55.2,65.9,44.4,1983
WA,Washington,46.1,55.8,36.5,1983
WV,We Virginia,52.1,63.1,41,1983
WI,Wisconsin,42.7,52.7,32.7,1983
WY,Wyoming,40.6,52.7,28.5,1983
AL,Alabama,61,72.5,49.6,1984
AZ,Arizona,59.2,72.3,46,1984
AR,Arkansas,58.5,69.4,47.6,1984
CA,California,57.7,68.8,46.5,1984
CO,Colorado,43.7,56.4,30.9,1984
CT,Connecticut,49,59.3,38.8,1984
DE,Delaware,54.4,64.3,44.4,1984
FL,Florida,69.3,79.6,58.9,1984
GA,Georgia,62,73.5,50.4,1984
ID,Idaho,42.2,52.9,31.5,1984
IL,Illinois,51.4,61.3,41.5,1984
IN,Indiana,51.1,61.4,40.8,1984
IA,Iowa,47.2,56.8,37.5,1984
KS,Kansas,52.8,64.4,41.3,1984
KY,Kentucky,54.6,65.6,43.6,1984
LA,Louisiana,64.1,74.6,53.5,1984
ME,Maine,41.6,51.6,31.6,1984
MD,Maryland,53.7,63.9,43.5,1984
MA,Massachusetts,48.1,58.3,37.9,1984
MI,Michigan,44,53.7,34.2,1984
MN,Minnesota,40.8,50.4,31.2,1984
MS,Mississippi,61.4,72.4,50.4,1984
MO,Missouri,53.6,64.3,42.9,1984
MT,Montana,41.6,53.3,29.9,1984
NE,Nebraska,47.5,58.9,36.1,1984
NV,Nevada,49.1,60.8,37.3,1984
NH,New Hampshire,43.6,54.4,32.8,1984
NJ,New Jersey,52.1,62.3,41.9,1984
NM,New Mexico,52.4,66.7,38.1,1984
NY,New York,45.1,55.1,35.1,1984
NC,North Carolina,57.7,69,46.5,1984
ND,North Dakota,40.6,51.4,29.9,1984
OH,Ohio,50.4,60.7,40.2,1984
