ST,STATE,AVG,MAX,MIN
AL,Alabama,62.0,74.2,49.9
AZ,Arizona,59.3,72.7,45.8
AR,Arkansas,58.7,70.0,47.5
CA,California,57.2,69.2,45.1
CO,Colorado,43.8,57.4,30.2
CT,Connecticut,47.0,57.3,36.8
DE,Delaware,53.2,63.3,43.1
FL,Florida,69.9,80.7,59.1
GA,Georgia,62.8,74.9,50.7
ID,Idaho,41.0,52.6,29.4
IL,Illinois,49.3,59.5,39.1
IN,Indiana,49.0,59.4,38.6
IA,Iowa,45.0,55.5,34.5
KS,Kansas,52.4,64.8,39.9
KY,Kentucky,53.6,64.4,42.8
LA,Louisiana,65.2,76.2,54.2
ME,Maine,39.6,50.4,28.9
MD,Maryland,52.8,62.9,42.6
MA,Massachusetts,46.0,56.4,35.5
MI,Michigan,42.1,52.5,31.8
MN,Minnesota,38.7,49.6,27.7
MS,Mississippi,62.3,74.1,50.5
MO,Missouri,52.3,63.3,41.4
MT,Montana,38.2,49.8,26.6
NE,Nebraska,45.8,58.1,33.4
NV,Nevada,48.6,61.6,35.6
NH,New Hampshire,41.4,52.8,30.0
NJ,New Jersey,50.6,60.6,40.5
NM,New Mexico,52.8,67.0,38.6
NY,New York,43.0,53.3,32.7
NC,North Carolina,57.8,69.1,46.4
ND,North Dakota,38.1,49.5,26.6
OH,Ohio,48.5,58.6,38.3
OK,Oklahoma,58.3,70.3,46.3
OR,Oregon,45.4,56.6,34.4
PA,Pennsylvania,46.6,56.9,36.3
RI,Rhode Island,47.8,57.4,38.2
SC,South Carolina,61.9,73.7,50.1
SD,South Dakota,42.1,54.1,30.2
TN,Tennessee,56.4,67.9,44.8
TX,Texas,63.7,75.6,51.8
UT,Utah,46.9,59.2,34.5
VT,Vermont,40.2,51.4,29.1
VA,Virginia,53.9,65.0,42.9
WA,Washington,44.9,54.5,35.2
WV,West Virginia,50.2,61.0,39.5
WI,Wisconsin,40.6,51.4,29.7
WY,Wyoming,38.4,51.3,25.5
