ST,STATE,AVG,MAX,MIN
AL,Alabama,63.6,75.1,52.0
AZ,Arizona,61.0,75.4,46.7
AR,Arkansas,62.2,73.8,50.6
CA,California,58.6,71.0,46.3
CO,Colorado,46.7,60.8,32.7
CT,Connecticut,50.3,60.6,40.0
DE,Delaware,56.4,66.2,46.5
FL,Florida,70.9,81.1,60.7
GA,Georgia,64.0,75.2,52.8
ID,Idaho,43.7,55.6,31.8
IL,Illinois,54.4,64.8,44.1
IN,Indiana,53.6,63.8,43.4
IA,Iowa,50.7,61.3,40.2
KS,Kansas,56.8,69.6,44.1
KY,Kentucky,57.1,68.3,45.9
LA,Louisiana,67.6,78.8,56.5
ME,Maine,42.8,52.7,32.9
MD,Maryland,55.8,65.9,45.7
MA,Massachusetts,49.2,59.3,39.1
MI,Michigan,47.0,57.0,37.1
MN,Minnesota,44.4,54.5,34.4
MS,Mississippi,64.4,76.0,52.8
MO,Missouri,56.9,68.0,45.8
MT,Montana,44.2,56.2,32.1
NE,Nebraska,51.9,64.9,38.8
NV,Nevada,50.8,64.1,37.5
NH,New Hampshire,44.9,55.5,34.3
NJ,New Jersey,54.2,64.4,44.0
NM,New Mexico,54.6,69.7,39.4
NY,New York,47.2,57.3,37.0
NC,North Carolina,59.7,70.6,48.8
ND,North Dakota,44.0,55.0,33.1
OH,Ohio,52.6,62.6,42.5
OK,Oklahoma,61.4,74.0,48.9
OR,Oregon,47.8,59.3,36.3
PA,Pennsylvania,50.2,60.7,39.8
RI,Rhode Island,50.9,60.2,41.6
SC,South Carolina,63.3,74.5,52.1
SD,South Dakota,48.6,60.8,36.4
TN,Tennessee,58.9,70.2,47.6
TX,Texas,66.2,79.0,53.3
UT,Utah,49.1,61.9,36.3
VT,Vermont,44.4,54.8,34.0
VA,Virginia,56.3,67.3,45.4
WA,Washington,47.7,57.5,37.9
WV,West Virginia,53.2,64.1,42.2
WI,Wisconsin,46.2,56.5,35.8
WY,Wyoming,43.0,56.2,29.9
